Alias,Documented Name
Rais-o-Sadat,Sayyid
Dehghan,Hossein
Dehghan Poudeh,Hossein
Haghanian,Vahid
Haddad-Adel,Gholamali
Haddadadel,Gholam-Ali
Haddad Adel,Gholam-Ali
Haddad Adel,Gholamali
Khamenei,Mojtaba
Khamenei,Sayyed Mojtaba
Armed Forces General Staff,
AFGS,
General Staff of Iranian Armed Forces,
Bagheri,Mohammad
Bagheri Afshordi,Mohammad
Baqeri,Mohammad
Bagheri,Mohammed
Rashid,Gholam Ali
Rashid,Gholamali
Reza'i,Mohsen
Rezaei,Mohsen
Rezai,Mohsen
Qomi,Mohsen
Non-Latin: سلیمانی,Non-Latin: غلامرضا
Soleimani,Gholam Reza
Soleymani,Gholam Reza
Soleimany,Gholamreza
Ashtiani,Mohammad-Reza
Ashtiani,Mohammed Reza
Abdollahi,Ali
Abdollahi Aliabadi,Ali
Blanco Hurtado,Nestor
Kouffa,Amadou
Kouffa,Hamadou
Kouffa,Hamadoun
Barry,Amadou
Optima Freight OY,
Kovalevskij,Nikita
Kovalevsky,Nikita
GCH Finland OY,
Unicum Trade OY,
ACEX OY,
Ji,Songyan
Zhang,Longbao
EMPRENDIMIENTOS INMOBILIARIOS MISIONES S.A.,
EMPRENDIMIENTOS INMOBILIARIOS MISIONES SOCIEDAD ANONIMA,
APOLO INFORMATICA S.A.,
APOLO INFORMATICA,
APOLO INFORMATICA SOCIEDAD ANONIMA,
APOLO INFORMATICA SA,
MUNDO INFORMATICO PARAGUAY S.A.,
MUNDO INFORMATICO PARAGUAY SOCIEDAD ANONIMA,
Bayaltun,Ismail
Nicaraguan National Police,
Policia Nacional de Nicaragua,
NNP,
Bayaltun,Ahmet
ACL Ithalat Ihracat,
ACL GSM Import Export,
ACL Ithalat Ihracat Ismail Bayalt,
ACL Ithalat Ihracat Ismail Bayaltun,
Nejaat Social Welfare Organization,
Nejat-e Ejtimayee,
Khan,Sayed
Khan,Syed
Habib,Sayed
Wakil,Rohullah
Wakil,Haji Sahib
Haji Rohullah,
ZHENG,Guangfu
Sahloul Money Exchange Company,
Al-Sahloul Money Exchange Company,
Sahlul Hawala Office,
Tawasul Company,
Tawasul Hawala Company,
Al-Tawasul Company,
Tawasul Financial Exchange,
Al Sultan Money Transfer Company,
Al-Sultan Jewelry & General Trading Co,
Al Sultan Gold & Jewelry,
Sultan Gold,
Al Sultan Jewelry,
Alsultan KUYUMCULUK Elektronik Gida Ithalat Ihracat Limited Sirketi,
Alsultan Kuyumculuk,
AL SULTAN GOLD AND JEWELRY,
AL-SULTAN JEWELRY AND GENERAL TRADING CO,
Non-Latin: 张,Non-Latin: 涛涛
"Non-Latin: ALLYRISE TECHNOLOGY GROUP CO., LIMITED",Non-Latin: 聯升科技集團有限公司
CORPORACION PANAMERICANA S.A.,
Al-Lami,Hussein
al-Lami,Abu Zainab
Aziz,Hussein Faleh
Azari Jahromi,Mohammad
Al-Khazali,Qais
al-Khazali,Qais
Alazerej,Qays
al-Khazali,Qays
al-Khaz'ali,Qays
al-Khazali,Qays
Al-Khazali,Laith
Alazireg,Layth
al-Khaz'ali,Layth
al-Khazali,Layth
al-Khaz'ali,Layith
Ortega Murillo,Rafael
Ortega,Payo
Servicio de Proteccion y Vigilancia S.A.,
El Goliat,
Inversiones Zanzibar Sociedad Anonima,
Inversiones Zanzibar,
"Distribuidora Nicaraguense De Petroleo, S.A.",
DNP,
Nicaraguan Petroleum Distributor,
DNP Petronic,
DNP-Petronic,
DNP S.A.,
ICARO,
LUISA CACERES DE ARISMENDI,
MANUELA SAENZ,
PARAMACONI,
TEREPAIMA,
YARE,
Al-Issawi,Khamis
al-Khanjar,Khamis
Alessawi,Khamis
Ali,Khames
Ali,Khamees
Baluku,Seka Musa
Baluku,Seka
Kajuju,Mzee
Lumu,
Lumonde,
Makuba,
Kibirige,Amigo
Kibirge,Amigo
Amigo,Simba
Amigo,Mzee
Muhammand,Kibirige
Lumisa,Muhammed
Lumisa,Muhamad
Luminsa,
Lumwisa,
Kato,L.
Mukade,
Mukake,
Segujja,Elias
Suguja,Fezza
Mulalo,
Feeza,
Faiza,
Muhammad,Kayiira
Ogundipe,
Muhamadi,Kahira
Mahammad,Kayiira
Kayira,Muhammad
Kaida,
Karida,
Kasadha,Amisi
Kalume,
Karume,
Kasada,Kasadha
Kasaada,Muzamil
Kirbaki,Muzamir
Kiribaki,Muzamir
Thiongkol,Abud
Kol,Abud
Muorwel,Malual
Muorwel Malual,Malual
Kuajien,Michael
Kuajian,Michael
Kuajien Duer Mayok,Michael
Lam,John
Tut,John
Garang,Angelo
Kim,Kun
Chandy,King
Chandy,Koeung
Chandy,Keung
Chan Dy,King
"7 Makara Phary Co., LTD.",
"K D Rubber Plantation Co., Ltd.",
"Romdoul Capital Pawn Co., Ltd.",
Pheap,Try
Pheap,Thy
"Try Pheap Group Co., Ltd.",
"M. D. S. Import Export Co., Ltd.",
"MDS Import Export Co., Ltd.",
MDS Import Export,
"Try Pheap Dry Port Co., Ltd.",
"Try Pheap Engineering & Construction Co., Ltd.",
"Try Pheap Engineering and Construction Co., Ltd.",
"Try Pheap Grand Royal Cambodia Co., Ltd.",
"Try Pheap Import Export Co., Ltd.",
"Papa Petroleum Co., Ltd.",
"Try Pheap Property Co., Ltd.",
"Try Pheap Travel & Tours Co., Ltd.",
"Try Pheap Travel and Tours Co., Ltd.",
"M D S Thmorda S E Z Co., Ltd.",
MDS Thmorda SEZ,
"Try Pheap Oyadav S E Z Co., Ltd.",
Try Pheap Ou Ya Dav,
Anwar,Rao
Ahmed,Rao
Khan,Anwar
Khan,Rao
Khan,Anwar
Kocner,Marian
"Hotel Holding, S.R.O.",
International Investment Development Holding A.S.,
R.E.N.T.A.L a.s.,
International Investment Hotels Holdings A.S.,
RENTA a.s.,
"Sprava A Inkaso Pohladavok, S.R.O.",
Sprava sluzieb Donovaly s.r.o.,
"Sprava A Inkaso Zmeniek, S.R.O.",
"Tranz-Tel, A.S.",
"Noram - AZD, a.s.",
Lembergs,Aivars
Ventspils Attistibas Agentura,
Ventspils Development Agency,
Ventspils Development Association,
Biznesa Attistibas Asociacija,
Business Development Association,
Latvijas Tranzita Biznesa Asociacija,
Latvian Transit Business Association,
Transit Business Association of Latvia,
Non-Latin: Гранд Сервис Экспресс,Non-Latin: Grand Service Express
Non-Latin: Joint Stock Company Transport Company Grand Service Express,Non-Latin: Акционерное Общество Транспортная Компания Гранд Сервис Экспресс
Joint Stock Company Grand Service Express,
JSC GSE,
AO Grand Servis Ekspress,
Non-Latin: Гранд Экспресс,Non-Latin: Grand Express
Khedri,Abdolhossein
Khedri,Abdolhossein
Khodri,Abed Al Hsein
Khedri,Abdul
Khedri Jahan Darya Co,
Khedri Jahan Darya Shipping Port Commercial Company,
Genava 12,
Genava 11,
Gostaresh SW 8301,
Maritime Silk Road LLC,
Jahan Destinations Travel and Tourism LLC,
"Gomei Air Services Co., LTD.",
Kapidzic,Esad
Kapidzic,Eso
Sarenac,Nebojsa
Petrovic,Zoran
Brkic,Nikola
Subotic,Milan
Petrovic,Zelimir
Cvjetkovic,Sreten
Maricic,Ljubo
Falcon Strategic Solutions DOO,
Falcon Strategic Solutions DOO Beograd-Palilula,
Velcom Trade DOO Beograd,
"Velcom Trade Preduzece Za Proizvodnju Promet I Usluge Doo, Beograd Stari Grad",
Melvale Corporation DOO Beograd,
"Preduzece Za Proizvodnju, Promet I Usluge Melvale Corporation Doo, Beograd Stari Grad",
ARANEKS DOO,
Araneks DOO Beograd-Vozdovac,
Gatewick LLC,
Gatewick Freight and Cargo,
Gatewick Aviation Services,
Gatewick,
VECTURA TRANS DOO,
Vectura Trans DOO Novi Beograd,
Finrost Limited,
Tardigrade Limited,
Moonstorm Enterprises Limited,
Business Diversity Limited,
Business Diversity Ltd,
Sophary,Kim
Phara,Kim
"Cambo Elite Security Force Co., LTD.",
"Romdoul Development Co., LTD.",
Ahmad,Nazem
Ahmed,Nazem
Ahmad,Nazim
Ahmad,Nazim
Ahmad,Nizam
Ahmad,Nazem
Ahmad,Nazem
Ahmed,Nazem
Beirut Diam Sal,
Beirut Diam Company SAL,
Beirut Gem SAL,
Beirut GM SAL,
Montecarlo Beach SAL,
Debbiye 143 SAL,
Al Dibiya 143 SAL,
Nour Holding SAL,
Noor Holding SAL,
Aramoun 1506 SAL,
Damour 850 SAL,
Gebaa 2480 SAL,
Jebaa 2480 SAL,
Noumayriye 1057 SAL,
Numeiriya 1057 SAL,
Beirut Trade SAL,
Blue Star Diamond SAL - Offshore,
Assi,Saleh
Assi,Saleh
'Asi,Salih
Assi,Salah
Assi,Salih
Saab,Tony
Sa'b,Tony
Sa'b,Tony
Minocongo,
Minoterie Du Congo SPRL,
Mino Congo,
Pain Victoire,
Pains Victoire,
Societe Generale de Pain,
Societe Generale Des Pains,
Pan Victoire,
Societe General Des Pains SPRL,
Trans Gazelle,
Transgazelle,
Trans Gazelle SPRL,
Inter Aliment SAL Off-Shore,
Interaliment Offshore Company,
Salasko Offshore S.A.L.,
Al Yumun Real Estate Company SAL,
Ganov,Alexander
Ganov,Aleksandr
Gai,Taban
Mukiibi,Moses
Musene,Wilson
Musene,Wilson
Mirembe,Dorah
Ecobu,Patrick
Mukisa,Patrick
"GBJ DE COLIMA, S.A. DE C.V.",
ESTACION DE SERVICIO GBJ,
INTERNATIONAL INVESTMENTS HOLDING S.A. DE C.V.,
CORPORATIVO SUSHI PROVI S. DE R.L. DE C.V.,
"CONSORCIO VENEZOLANO DE INDUSTRIAS AERONAUTICAS Y SERVICIOS AEREOS, S.A.",
CONVIASA,
"MASTER REPOSTERIAS Y RESTAURANTES, S.A. DE C.V.",
Tian,Yinyin
tianyinyin0404,
snowsjohn,
Li,Jiadong
blackjack1987,
khaleesi,
Asa'ib Ahl al-Haq,
AAH,
Asa'ib Ahl al-Haq min Al-Iraq,
Asaib al Haq,
Asa'ib Ahl Al-Haqq,
League of the Righteous,
Khazali Network,
Khazali Special Group,
Qazali Network,
The People of the Cave,
Khazali Special Groups Network,
Al-Tayar al-Risali,
The Missionary Current,
Esfahan Steel Company,
ECSO,
Khorasan Steel Company,
Khorasan Steel Complex Joint Stock Company,
South Kaveh Steel Company,
SKS Co.,
SKS Steel Company,
Non-Latin: Kish South Kaveh Steel Company,Non-Latin: شرکت فولاد کاوه جنوب کیش
Kish South Kaveh Company,
Steel Kaveh South Kish,
South Kaveh Steel Co.,
Chadormalu Mining & Industrial Company,
Chadormalu Mining & Industrial Co.,
CHADORMALU MINING & INDUSTRIAL Public Joint Stock Company,
Chadormalu Mining and Industrial Company,
CHADORMALU MINING AND INDUSTRIAL CO.,
CHADORMALU MINING AND INDUSTRIAL PUBLIC JOINT STOCK COMPANY,
Oxin Steel Company,
Khouzestan Oxin Steel Company,
Khozestan Oxin Steel Company,
Khuzestan Oxin Steel Company,
ARFA IRON AND STEEL COMPANY,
ARFA IRON & STEEL COMPANY,
ARFA STEEL,
Iran Alloy Steel COMPANY,
IASCO,
khouzestan steel company,
Khuzestan Steel Company,
Almahdi Aluminum Co.,
Al Mahdi Aluminum Company,
National Iranian Copper Industries Company,
National Iranian Copper Industries Public Joint Stock,
NICICO,
Golgohar Mining and Industrial Company,
Iranian Ghadir Iron & Steel Co.,
IGISCO,
IRANIAN GHADIR IRON AND STEEL CO.,
Reputable Trading Source LLC,
Reputable Trading Source LLC Company,
RTS LLC,
al-Wadi,Faysal
Wadi,Faisal Mohamed M
Wady,Faisl Mohamed
Wadi,Musbah Mohamad M
Wady,Mosbah Mohamed
Musbah,Nourddin Milood M
Mohamed,Nour Addin Meloud
Alwefaq Ltd,
Maraya,
Med Patron,
Saba Steel,
Saba Steel Company,
Hormozgan Steel Company,
HOSCO,
Iran Aluminum Company,
Iran Aluminium Company,
Iranian Aluminum Company,
Iran's Aluminum Company,
IRALCO,
Khalagh Tadbir Pars Co.,
NORIEGA FIGUEROA,Jose
PARRA RIVERO,Luis
Brito Rodriguez,Jose Dionisio
Perez Linares,Conrado Antonio
Morales Llovera,Negal Manuel
Duarte,Franklyn Leonardo
Superlano,Adolfo Ramon
SHAMKHANI,Ali
Hongyuan Marine Co Ltd,
Hongyuan Marine Co Ltd Hong Union,
YV3360,
YV2040,
YV2726,
YV2485,
YV2486,
Hong Xun,
YV2565,
YV2567,
YV1118,
YV2734,
YV2716,
YV2738,
YV2739,
YV2763,
YV2762,
YV2869,
Pamchel Trading Beijing Co. Ltd.,
"Pamchel Asia Co., LTD",
Pamchel Asia Steel Group Company Limited,
Power Anchor Limited,
Salehi,Ali Akbar
Gotsanyuk,Yuri
Hotsaniuk,Iurii
Gotsanyuk,Jury
Gotsaniuk,Jurij
Sage Energy HK Limited,
Beneathco DMCC,
Beneathco General Trading DMCC,
"Peakview Industry Co., Limited",
Peakview Industry,
Non-Latin: 眾祥石化有限公司,Non-Latin: Triliance Petrochemical Co. Ltd.
Triliance Kish Petrochemical Company,
Triliance Petrochemical Company,
Triliance Petrochemical GmbH,
Tiba Parsian Kish Petrochemical,
Tiba Petrochemical Company DMCC,
"Triliance Petrochemical Co., Limited",
"Non-Latin: Triliance Petroleum Shanghai Co., Ltd",Non-Latin: 众祥石油 上海 有限公司
Triliance Petrochemical Co Ltd,
Non-Latin: Развожаев,Non-Latin: Михаил
Non-Latin: Развожаєв,Non-Latin: Михаило
Nemtsev,Vladimir
Nemtsev,Volodymyr
Non-Latin: Даниленко,Non-Latin: Сергей
Basova,Lidia
Basova,Lidiya
Pyrkova,Ekaterina
Pyrkova,Kateryna
Altabaeva,Ekateryna
Altabaeva,Ekaterina
Altabaeva,Ekaterina
Altabaeva,Yekaterina
Altabaeva,Kateryna
"Non-Latin: Shandong Qiwangwa Petrochemical Co., Ltd.",Non-Latin: 山东齐旺达石油化工有限公司
"Shandong Qiwangda Group Petrochemical Co., Ltd.",
JIAXIANG INDUSTRY HONG KONG LIMITED,
Jiaxiang Industry Ltd Hong Kong,
Jiaxiang Industry Ltd,
Bayandarian,Ali
Bayandorian,Ali
Wang,Zhiqing
Zhiqing,Wang
YV1003,
YV2984,
YV1004,
YV1008,
YV1009,
YV1005,
YV1850,
YV2421,
YV2422,
YV3434,
YV2558,
YV2559,
YV378T,
YV1007,
YV2557,
YV2556,
YV1000,
YV3016,
YV2966,
YV2850,
YV2849,
YV2851,
YV2911,
YV2912,
YV2913,
YV2943,
YV2944,
YV2953,
YV2954,
YV2965,
YV2964,
YV3052,
YV3071,
YV2969,
YV2970,
YV2993,
YV2994,
YV3032,
YV3033,
YV3034,
Espana Informatica S.A.,
Non-Latin: Espana Informatica SA,Non-Latin: ESPAÑA INFORMÁTICA SA
Hijazi,Khalil
Hijazi,Kassem
Hijazi,Kassem
Hijazi,Kassem
Perez Olivas,Luis Alberto
Valle Valle,Juan Antonio
Urbina,Justo Pastor
Atlas Holding,
Atlas Holding SAL,
Bazzi,Kassem
Bazi,Qassem
Bazzi,Qasim
Bazzi,Qasim
MEDICAL EQUIPMENT AND DRUGS INTERNATIONAL CORPORATION,
Medical Equipment & Drugs International Corporation,
Drugs and Medical Supplies,
MEDIC,
Shahed Pharm,
Shahed Pharm Drugstore SARL,
Amana Fuel Co.,
Amana for Hydrocarbons,
Al Amana S.A.R.L.,
Amana Plus S.A.L.,
Amana Plus Co.,
AL KAWTHAR,
Amana Sanitary and Paints Company L.T.D.,
APSCO,
City Pharma SARL,
Global Touristic Services SAL,
Mirath S.A.L.,
Sanovera Pharm Company SARL,
Sanovera,
Sanovira,
Capital S.A.L.,
Jannati,Ahmad
Yazdi,Mohammad
Sadeghi Moghadam,Mohammad
Sadeghi Moghadam,Mohammad
SADEQI-MOQADAM,Mohammad
Sadeqi-Moqaddam,Mohammad
Sadeghi Moghaddam,Mohammad
Sadeghi MOHAMMAD,Mohammad
Rahpeyk,Siamak
Rah-Peyk,Siyamak
Rahpiek,Siamak
Rahpeyk,Siyamak
Kadkhodaei,Abbas
Kadkhodaee,Abbas
Kadkhodaei Elyaderani,Abbas
kadkhodaei,Abbasali
Kadkhodai,Abbas
Kadkhoda'i,Abbas
Korea Daizin Trading Corp.,
Korea Daizin Trading Corporation,
Korea Taejin Trading Corporation,
Taejin Trading Corporation,
Korea Taejin Trading,
Korea Taijin Trade Corporation,
Taechin Trading Corporation,
Non-Latin: Daejin Trading General Corporation,Non-Latin: 대진무역총회사
Taejin Trading Company,
Taejin Trading General Company,
126 Economic Exchange Company,
ACOSTA MONTALVAN,Ivan
Juan,Carlos
Difuso Comunicaciones S.A.,
Difuso Audiovisuales,
Ncube,Owen
al-Hamidawi,Ahmad
al-Hamidawi,Ahmad
Al-Saedi,Ahmed
al-Sa'idi,Ahmad
Husayn,Abu
Khalil,Ali
Non-Latin: González,Non-Latin: Liz
Non-Latin: Doldán,Non-Latin: Liz
Mobile Zone International Import-Export S.R.L.,
Mobile Zone Internacional Import-Export S.R.L.,
Mobile Zone Internacional Import. Export. S.R.L.,
TNK Trading International S.A.,
Petro Grand FZE,
Alphabet International DMCC,
Non-Latin: ‫سویسول تراید م.د.م.س.‬,Non-Latin: Swissol Trade DMCC
Alam Althrwa General trading LLC,
Alam Althrwa LLC Co,
Alwaneo L.L.C. Co.,
Alwaneo CO. L.L.C.,
Alwaneo Trade DMCC,
Non-Latin: SPI International,Non-Latin: اس پی آی انترنشنل
SPI International Proprietary Ltd.,
SPI International Proprietary Limited,
SPI International PTY LTD,
SPII,
Non-Latin: اس پی آی انترنشنل پروپرتیری شعبه خارجی,Non-Latin: SPI International Proprietary Branch of a Foreign Company
Non-Latin: SPI International Proprietary,Non-Latin: اس پی آی انترنشنل پروپرتیری
SPI International Propriety Limited Co.,
McFly Plastic HK Limited,
"Non-Latin: Dalian Golden Sun Import and Export Co., Ltd.",Non-Latin: 大连金阳进出口有限公司
"Golden Sun I/E Dalian Co., Ltd.",
Non-Latin: أيوب,Non-Latin: علي
Non-Latin: 大连天贻国际贸易有限公司,"Non-Latin: Tianyi International Dalian Co., Ltd."
"Dalian Tianyi International Trading Co., Ltd.",
DalianTianYi,
"Non-Latin: Dalian Yongkang International Trading Co., Ltd.",Non-Latin: 大连永康国际贸易有限公司
"Saturn Oasis Co., Limited",
Armed Forces Social Security Investment Company,
SHASTAN,
Non-Latin: سرمایه گذاری ساتا,Non-Latin: SATA Investment Company
Non-Latin: Armed Forces Social Security Investment Fund SHASTAN,Non-Latin: سرمایه گذار تامین اجتماعی نیروهای مسلح شستان
Armed Forces Social Welfare Investment Organization of Iran,
Non-Latin: شرکت سرمایه گذاری تامین اجتماعی نیروهای مسلح شستان,Non-Latin: Shastan Armed Forces Social Security Investment Company
Armed Forces Social Security and Pension Fund Investment - Shestan,
Sata Military Powers Social Security Investment Company,
Shestan,
Main Street 1095 Proprietary Limited,
Main Street 1095,
Main Street 1095 Pty Ltd,
Toulai,Mohammad
Tavallaei,Mohammad
Toulai,Mohammadhassan
Tavakkoli,Hossein
Semnani,Reza
Ebadzadeh,Reza
Ebad Zadeh,Reza
Saburinezhad,Hasan
Saburinejad,Ali
Engineer Morteza,
Nazhad,Hasan
Saburinezhad,Ali
Saburi,Hasan
Murtada,Muhandis
Non-Latin: Mada'in Novin Traders,Non-Latin: شرکت سهامی خاص متاجر نوین مدائن
matajer novin mada'en company,
Gholizadeh,Vali
Sa'idi,Mohammad
Qolizadeh,Vali
Musavifar,Sayyed Reza
Mousavifar,Seyed
Non-Latin: Middle East Saman Chemical Company,Non-Latin: شرکت سامان شیمی خاور میانه
Middle East Saman Chemical Trade Company,
Saman Middle Eastern Chemical Company,
Middle East Saman Chemical Trading,
Saman Chemical Company,
Middle East Saman Shimi Trading Company,
Saman Shimi Middle East,
Saman Shimi Khavarmianeh Ltd.,
MSC,
Non-Latin: شرکة الخمائل الخدامات البحرية و النقل,Non-Latin: Al Khamael Maritime Services
Al Khamail Marine Service,
Alkhamael Co. Maritime Services,
Sharikah Al-Khama'il Lilkhadamat Al-Bahriyyah Walnql,
AlKhamael Terminal and Port Operation Management,
Asadi,Ali
Al-Hamidawi,Shaykh 'Adnan
Abu-'Ammar,
al Hameedawi,Adnan
Al Behadili,Mohammed
Adhafah,Muhammad
Saeed,Mohammed
Albehadili,Mohammed
Al-Bahadili,Muhammad
Al-Mansoori,Ali
al-Mansuri,'Ali
abu-Rezvan,
Rezvan,Seyyed
Rezwan,Seyyed
Musavir,Sayyed Yaser
Aminpur,Sayyed
Musavi,Sayyed
Mousavi,Seyed
Non-Latin: ستاد بازسازی عتبات عالیات,Non-Latin: Reconstruction Organization of Holy Shrines in Iraq
Headquarters of reconstruction of holy shrines,
Reconstruction Organization of the Holy Shrines,
Pelarak,Hassan
Polarak,Hassan
Ja'fari,Hasan
Fadakar,Alireza
Fedakar,Ali
Al-Ghorayfi,Muhammad
Aladnani,Mohammad
Adnani,Seyed
al-adnani,Muhammad
Non-Latin: شوشتری پوستی,Non-Latin: مسعود
Shushtari,Mas'ud
Shushtari,Masoud
Jalal Maab,Mohammad
Jalalmaab,Mohammad
Ghasemzadeh,Mehdi
Azizpur,Amir
Bakhtiari,Mashallah
Bakhtiari,Mashaallah
Bahjat al Kawthar Company for Construction and Trading Ltd.,
Al-Kawthar Foundation,
Kosar Company,
Russian Imperial Movement,
Russkoie Imperskoe Dvizhenie,
Russkoe Imperskoye Dvizheniye,
RID,
RIM,
Russian Imperial Legion,
RIL,
Saint Petersburg Imperial Legion,
Imperial Legion,
Vorobyev,Stanislav
Anatolyevich,Vorobyov
Vorobyov,Stanislav
Vorobev,Stanislav
Gariyev,Denis
Gariyev,Denis
Gariev,Denis
Trushchalov,Nikolay
Trushchalov,Mykola
Trushhalov,Nikolaj
Truschalov,Nicholas
Trushchalov,Nikolay
Trushchalov,Nicholas
Jose,Mojica
Star 18,
Sam 5,
Thinh Cuong,
al-Mawla,Amir
Hajii Abdallah,
al-Mula,Amir
al-Mawla,Muhammad
Abdullah Qardash,
Abu-'Abdullah Qardash,
Abu-'Umar al-Turkmani,
Salbi,'Abdul
Hajji Abdullah al-Afari,
al-Hajj Abdullah Qardash,
Abu Ibrahim al-Hashimi al-Qurashi,
Mundo Digital S.A.,
Syditek Mundo Digital S.A.,
Non-Latin: شركة دمشق الشام القابضة,Non-Latin: Damascus Cham Holding Company
Damascus Cham Private Joint Stock Company,
Damascus Cham Holding Private JSC,
al-Shaban,Hasan
AlShaban,Hasan
Dianat,Amir
Almthaje,Ameer
Dianet,Amir
al-Taa'ei,Amir
Mushtaq,Abu
Jafar,Amir
Dianat,Amir
Diyanat,Amir
al-Mutahaji,Amir
Taif Mining Services LLC,
SHANGHAI SAINT LOGISTICS LIMITED,
Aviles Castillo,Julio Cesar
ASHTARI FARD,Hossein
AHSTARI,Hossein
SOLEIMANI,Ayoub
FATHI ZADEH,Mohsen
MAHMOODZADEH,Yahya
ASHRAQ,Hamidraza
ALI NOORINAJAD,Mohammad
SHAHVARPOUR NAJAFABADI,Hassan
SHAHVARPOUR,Hassan
RAHMANI FAZLI,Abdolreza
Rahmani Fazli,Abdol-Reza
Rahmani Fazli,Abd al-Reza
Rahmani-Fazli,Abdolreza
LAW ENFORCEMENT FORCES OF THE ISLAMIC REPUBLIC OF IRAN COOPERATIVE FOUNDATION,
Law Enforcement Forces Cooperative Foundation,
Nirooye Entezami Jomhori Eslami Bonyad Ta'avon,
Bonyad Ta'avon of NAJA,
Police Cooperative Foundation,
DARVISH,Habil
Olga Maria,Zepeda
Veronica,Esparza
Joaquin,Leal
"LIBRE ABORDO, S.A. de C.V.",
SCHLAGER BUSINESS GROUP S. de R.L. de C.V.,
WASHINGTON TRADING LTD,
GREAT TEHRAN PENITENTIARY,
FASHAFOUYEH Prison,
FASHAFOYE PRISON,
QARCHAK PRISON,
QARCHAK WOMEN'S PRISON,
GHARCHAK PRISON,
SHAHR-E REY PRISON,
WOMEN'S KAHRIZAK,
Uzuh,Richard
Olorunyomi,Micheal
Ogunshakin,Alex
Okpoh,Felix
Benson,Nnamdi
Kayode,Abiola
Agha'i,Majid
Aghaei,Majid
Sazgar,Amjad
Souleymane,Bi Sidi
Bi Sidi,Souleymane
Souleman,Bi Sidi
Soulemane,Bi Sidi
Soulimane,Sidiki Abass
Sidiki,
Abbas,Sidiki
Abass,Sidiki
Sidiki,Abbas
Non-Latin: شركة القمة للتطویر والمشاریع المحدودة المسؤولیة,Non-Latin: Apex Development and Projects LLC
Al 'Qima Development and Projects LLC,
Summit Development and Projects LLC,
Non-Latin: Kalai Industries,Non-Latin: قلعي للصناعات
Mohammed Kalai,
Kalai Industries Management,
Non-Latin: غراند تاون المدينة السياحة,Non-Latin: Grand Town Tourist City
Grand Town,
ZK Grand Town,
Non-Latin: Grand Town Tourism Project,Non-Latin: مشروع غراند تاون السياحي
Non-Latin: Telefocus SAL Offshore,Non-Latin: تيليفوكوس ش.م.ل.(اوف شور)
Telefocus Consultants Inc,
Telefocus Consultants Inc Canada,
Non-Latin: Zubaidi and Qalei LLC,Non-Latin: شركة زبيدي وقلعي المحدودة المسؤولية
Zubedi & Kalai,
ZK Holding,
Zubedi and Kalai,
Non-Latin: Castle Investment Holding,Non-Latin: شركة كاسل إنفست هولدنغ ش.م.ل.
Castle Invest Holding SAL,
Castle Invest Holding Company SAL,
Castle Holdings,
Castle Investment Holding Private JSC,
Non-Latin: Ebla Hotel,Non-Latin: فندق إيبلا
Ebla Hotel and Omayad Palace for Conferences,
Non-Latin: الزبيدي,Non-Latin: خالد
Zubedi,Khalid
Zubaidi,Mohammed Khaled
Al-Zubaidi,Mohammed Khaled Bassam
Al-Zubaidi,Khaled Bassam
Kalai,Nader
Qalei,Nader
Kalei,Nader
Kalai,Nader Mohammed Wajieh
Kalai,Nader Mohamad
Al Kalai,Nadir
Qalai,Nader
Santiago Jose,Moron
Ricardo Jose,Moron
Non-Latin: Damascus Cham for Management LLC,Non-Latin: دمشق الشام الادارة
Damascus Cham Management One-Person Co. Ltd.,
Damascus Cham Management Co. Ltd.,
Non-Latin: Bunyan Damascus Private Joint Stock Company,Non-Latin: شركة بنيان دمشق المساهمة المغلفة الخاصة
Bunyan Damascus,
Non-Latin: Mirza Company,Non-Latin: شركة ميرزا
Mirza Co.,
Al-Olabi,Adel
al-'Ulabi,'Adel
el-Oulabi,Adel
al-Olabi,Adil
Non-Latin: جمال الدين,Non-Latin: نذير
Jamal Eddin,Mohammed
Jamal Eddine,Natheer
JAMAL EDDINE,Nathier
Non-Latin: TAMAYOZ LLC,Non-Latin: شركة تميز المحدودة المسؤولية
Excellence Limited Liability Company,
Non-Latin: شركة روافد دمشق المساهمة المغفلة الخاصة,Non-Latin: RAWAFED DAMASCUS PRIVATE JOINT STOCK COMPANY
Rawafed Damascus Private JSC,
Tributaries Damascus Private JSC,
Rawafid Damascus Private Joint Stock Company,
Rawafed Damascus Investments Company,
Non-Latin: RAMAK DEVELOPMENT AND HUMANITARIAN PROJECTS LLC,Non-Latin: راماك للمشاريع التنموية و الانسانية
Ramak Company for Development and Humanitarian Projects LLC,
Non-Latin: شركة العمار ذات الشخص الواحد المحدودة المسؤولية,Non-Latin: AL-AMAR ONE-PERSON LLC
Al-Ammar LLC One Person Company,
Al-Ammar,
Non-Latin: TIMEET TRADING LLC,Non-Latin: شركة التيميت للتجارة المحدودة المسؤولية
Ultimate Trading LLC,
Non-Latin: WINGS PRIVATE JSC,Non-Latin: شركة الاجنحة المساهمة المغفلة الخاصة
Wings Private Joint Stock Company,
Castle Holding GmbH,
Castle Invest,
Castle Invest Holding,
Castle Holding,
Castle Holding Investment,
Art House GmbH,
ALEL TECHNOLOGIES LLC,
LUZY TECHNOLOGIES LLC,
COSMO RESOURCES PTE. LTD.,
Non-Latin: الفرقة الرابعة في الجيش العربي السوري,Non-Latin: Fourth Division of the Syrian Arab Army
